lr,iterations
0.001,1.0
0.0014491907,2.0
0.0018983813,3.0
0.002347572,4.0
0.0027967626,5.0
0.0032459532,6.0
0.0036951439,7.0
0.0041443347,8.0
0.004593525,9.0
0.005042716,10.0
0.0054919063,11.0
0.005941097,12.0
0.0063902875,13.0
0.0068394784,14.0
0.0072886692,15.0
0.0077378596,16.0
0.00818705,17.0
0.008636241,18.0
0.009085432,19.0
0.009534623,20.0
0.009983813,21.0
0.010433003,22.0
0.010882194,23.0
0.011331385,24.0
0.011780576,25.0
0.012229766,26.0
0.012678957,27.0
0.013128147,28.0
0.013577338,29.0
0.014026529,30.0
0.014475719,31.0
0.01492491,32.0
0.015374101,33.0
0.015823292,34.0
0.016272482,35.0
0.016721673,36.0
0.017170863,37.0
0.017620053,38.0
0.018069245,39.0
0.018518435,40.0
0.018967627,41.0
0.019416817,42.0
0.019866006,43.0
0.020315198,44.0
0.020764388,45.0
0.02121358,46.0
0.02166277,47.0
0.02211196,48.0
0.022561152,49.0
0.023010341,50.0
0.023459533,51.0
0.023908723,52.0
0.024357913,53.0
0.024807105,54.0
0.025256295,55.0
0.025705487,56.0
0.026154676,57.0
0.026603866,58.0
0.027053058,59.0
0.027502248,60.0
0.027951438,61.0
0.02840063,62.0
0.02884982,63.0
0.029299011,64.0
0.029748201,65.0
0.030197391,66.0
0.030646583,67.0
0.031095773,68.0
0.031544965,69.0
0.031994153,70.0
0.032443345,71.0
0.032892536,72.0
0.03334173,73.0
0.033790916,74.0
0.034240108,75.0
0.0346893,76.0
0.035138488,77.0
0.03558768,78.0
0.03603687,79.0
0.03648606,80.0
0.03693525,81.0
0.037384443,82.0
0.037833635,83.0
0.038282823,84.0
0.038732015,85.0
0.039181206,86.0
0.039630394,87.0
0.040079586,88.0
0.040528778,89.0
0.040977966,90.0
0.041427158,91.0
0.04187635,92.0
0.04232554,93.0
0.04277473,94.0
0.04322392,95.0
0.043673113,96.0
0.0441223,97.0
0.044571493,98.0
0.045020685,99.0
0.045469873,100.0
0.045919064,101.0
0.046368256,102.0
0.046817444,103.0
0.047266636,104.0
0.047715828,105.0
0.04816502,106.0
0.048614208,107.0
0.0490634,108.0
0.04951259,109.0
0.04996178,110.0
0.05041097,111.0
0.050860163,112.0
0.05130935,113.0
0.051758543,114.0
0.052207734,115.0
0.052656926,116.0
0.053106114,117.0
0.053555306,118.0
0.054004498,119.0
0.054453686,120.0
0.054902878,121.0
0.05535207,122.0
0.055801257,123.0
0.05625045,124.0
0.05669964,125.0
0.05714883,126.0
0.05759802,127.0
0.058047213,128.0
0.058496404,129.0
0.058945592,130.0
0.059394784,131.0
0.059843976,132.0
0.060293164,133.0
0.060742356,134.0
0.061191548,135.0
0.061640736,136.0
0.062089927,137.0
0.062539116,138.0
0.06298831,139.0
0.0634375,140.0
0.06388669,141.0
0.06433588,142.0
0.06478507,143.0
0.065234266,144.0
0.065683454,145.0
0.06613264,146.0
0.06658184,147.0
0.067031026,148.0
0.067480214,149.0
0.06792941,150.0
0.0683786,151.0
0.068827786,152.0
0.06927698,153.0
0.06972617,154.0
0.07017536,155.0
0.07062455,156.0
0.07107374,157.0
0.07152293,158.0
0.071972124,159.0
0.07242131,160.0
0.0728705,161.0
0.073319696,162.0
0.073768884,163.0
0.07421807,164.0
0.07466727,165.0
0.075116456,166.0
0.07556565,167.0
0.07601484,168.0
0.07646403,169.0
0.07691322,170.0
0.07736241,171.0
0.0778116,172.0
0.078260794,173.0
0.07870998,174.0
0.07915917,175.0
0.079608366,176.0
0.080057554,177.0
0.08050674,178.0
0.08095594,179.0
0.081405126,180.0
