lr,iterations
0.001,1.0
0.0010359352,2.0
0.0010718706,3.0
0.0011078058,4.0
0.001143741,5.0
0.0011796763,6.0
0.0012156115,7.0
0.0012515468,8.0
0.001287482,9.0
0.0013234173,10.0
0.0013593525,11.0
0.0013952878,12.0
0.001431223,13.0
0.0014671583,14.0
0.0015030935,15.0
0.0015390288,16.0
0.001574964,17.0
0.0016108992,18.0
0.0016468345,19.0
0.0016827697,20.0
0.001718705,21.0
0.0017546403,22.0
0.0017905756,23.0
0.0018265108,24.0
0.0018624461,25.0
0.0018983813,26.0
0.0019343166,27.0
0.0019702518,28.0
0.002006187,29.0
0.0020421224,30.0
0.0020780575,31.0
0.0021139928,32.0
0.0021499281,33.0
0.0021858632,34.0
0.0022217985,35.0
0.0022577338,36.0
0.0022936692,37.0
0.0023296042,38.0
0.0023655395,39.0
0.0024014749,40.0
0.0024374102,41.0
0.0024733453,42.0
0.0025092806,43.0
0.002545216,44.0
0.002581151,45.0
0.0026170863,46.0
0.0026530216,47.0
0.002688957,48.0
0.002724892,49.0
0.0027608273,50.0
0.0027967626,51.0
0.002832698,52.0
0.002868633,53.0
0.0029045683,54.0
0.0029405036,55.0
0.002976439,56.0
0.003012374,57.0
0.0030483094,58.0
0.0030842447,59.0
0.0031201798,60.0
0.003156115,61.0
0.0031920504,62.0
0.0032279857,63.0
0.0032639208,64.0
0.003299856,65.0
0.0033357914,66.0
0.0033717267,67.0
0.0034076618,68.0
0.0034435971,69.0
0.0034795324,70.0
0.0035154675,71.0
0.0035514028,72.0
0.0035873381,73.0
0.0036232735,74.0
0.0036592085,75.0
0.0036951439,76.0
0.0037310792,77.0
0.0037670145,78.0
0.0038029496,79.0
0.0038388849,80.0
0.0038748202,81.0
0.0039107553,82.0
0.003946691,83.0
0.003982626,84.0
0.004018561,85.0
0.0040544965,86.0
0.0040904316,87.0
0.0041263667,88.0
0.0041623022,89.0
0.0041982373,90.0
0.004234173,91.0
0.004270108,92.0
0.004306043,93.0
0.0043419786,94.0
0.0043779137,95.0
0.0044138487,96.0
0.0044497843,97.0
0.0044857194,98.0
0.0045216545,99.0
0.00455759,100.0
0.004593525,101.0
0.0046294606,102.0
0.0046653957,103.0
0.004701331,104.0
0.0047372663,105.0
0.0047732014,106.0
0.0048091365,107.0
0.004845072,108.0
0.004881007,109.0
0.0049169427,110.0
0.0049528778,111.0
0.004988813,112.0
0.0050247484,113.0
0.0050606835,114.0
0.0050966186,115.0
0.005132554,116.0
0.005168489,117.0
0.0052044243,118.0
0.00524036,119.0
0.005276295,120.0
0.0053122304,121.0
0.0053481655,122.0
0.0053841006,123.0
0.005420036,124.0
0.005455971,125.0
0.0054919063,126.0
0.005527842,127.0
0.005563777,128.0
0.005599712,129.0
0.0056356476,130.0
0.0056715827,131.0
0.005707518,132.0
0.0057434533,133.0
0.0057793884,134.0
0.005815324,135.0
0.005851259,136.0
0.005887194,137.0
0.0059231296,138.0
0.0059590647,139.0
0.005995,140.0
0.0060309353,141.0
0.0060668704,142.0
0.006102806,143.0
0.006138741,144.0
0.006174676,145.0
0.0062106117,146.0
0.0062465467,147.0
0.006282482,148.0
0.0063184174,149.0
0.0063543525,150.0
0.0063902875,151.0
0.006426223,152.0
0.006462158,153.0
0.0064980937,154.0
0.006534029,155.0
0.006569964,156.0
0.0066058994,157.0
0.0066418345,158.0
0.0066777696,159.0
0.006713705,160.0
0.00674964,161.0
0.0067855758,162.0
0.006821511,163.0
0.006857446,164.0
0.0068933815,165.0
0.0069293166,166.0
0.0069652516,167.0
0.007001187,168.0
0.0070371223,169.0
0.0070730573,170.0
0.007108993,171.0
0.007144928,172.0
0.0071808635,173.0
0.0072167986,174.0
0.0072527337,175.0
0.0072886692,176.0
0.0073246043,177.0
0.0073605394,178.0
0.007396475,179.0
0.00743241,180.0
0.007468345,181.0
0.0075042807,182.0
0.0075402157,183.0
0.0075761513,184.0
0.0076120864,185.0
0.0076480214,186.0
0.007683957,187.0
0.007719892,188.0
0.007755827,189.0
0.0077917627,190.0
0.007827698,191.0
0.007863633,192.0
0.007899568,193.0
0.0079355035,194.0
0.007971439,195.0
0.008007374,196.0
0.00804331,197.0
0.008079245,198.0
0.00811518,199.0
0.008151115,200.0
0.00818705,201.0
0.008222986,202.0
0.008258921,203.0
0.008294856,204.0
0.008330791,205.0
0.008366726,206.0
0.008402661,207.0
0.008438597,208.0
0.0084745325,209.0
0.008510468,210.0
0.008546403,211.0
0.008582338,212.0
