lr,iterations
0.01,1.0
0.048076924,2.0
0.08615384,3.0
0.12423077,4.0
0.1623077,5.0
0.20038462,6.0
0.23846154,7.0
0.27653846,8.0
0.3146154,9.0
0.3526923,10.0
0.39076924,11.0
0.42884615,12.0
0.4669231,13.0
0.505,14.0
0.54307693,15.0
0.58115387,16.0
0.61923075,17.0
0.6573077,18.0
0.6953846,19.0
0.73346156,20.0
0.77153844,21.0
0.8096154,22.0
0.8476923,23.0
0.88576925,24.0
0.9238461,25.0
0.96192306,26.0
1.0,27.0
0.96192306,28.0
0.9238461,29.0
0.88576925,30.0
0.8476923,31.0
0.8096154,32.0
0.77153844,33.0
0.73346156,34.0
0.6953846,35.0
0.6573077,36.0
0.61923075,37.0
0.58115387,38.0
0.54307693,39.0
0.505,40.0
0.4669231,41.0
0.42884615,42.0
0.39076924,43.0
0.3526923,44.0
0.3146154,45.0
0.27653846,46.0
0.23846154,47.0
0.20038462,48.0
0.1623077,49.0
0.12423077,50.0
0.08615384,51.0
0.048076924,52.0
0.01,53.0
0.02903846,54.0
0.048076924,55.0
0.06711538,56.0
0.08615384,57.0
0.10519231,58.0
0.12423077,59.0
0.14326923,60.0
0.1623077,61.0
0.18134615,62.0
0.20038462,63.0
0.21942307,64.0
0.23846154,65.0
0.2575,66.0
0.27653846,67.0
0.29557693,68.0
0.3146154,69.0
0.33365384,70.0
0.3526923,71.0
0.37173077,72.0
0.39076924,73.0
0.40980768,74.0
0.42884615,75.0
0.44788462,76.0
0.4669231,77.0
0.48596153,78.0
0.505,79.0
0.48596153,80.0
0.4669231,81.0
0.44788462,82.0
0.42884615,83.0
0.40980768,84.0
0.39076924,85.0
0.37173077,86.0
0.3526923,87.0
0.33365384,88.0
0.3146154,89.0
0.29557693,90.0
0.27653846,91.0
0.2575,92.0
0.23846154,93.0
0.21942307,94.0
0.20038462,95.0
0.18134615,96.0
0.1623077,97.0
0.14326923,98.0
0.12423077,99.0
0.10519231,100.0
0.08615384,101.0
0.06711538,102.0
0.048076924,103.0
0.02903846,104.0
0.01,105.0
0.01951923,106.0
0.02903846,107.0
0.038557693,108.0
0.048076924,109.0
0.057596155,110.0
0.06711538,111.0
0.076634616,112.0
0.08615384,113.0
0.09567308,114.0
0.10519231,115.0
0.11471154,116.0
0.12423077,117.0
0.13375,118.0
0.14326923,119.0
0.15278846,120.0
0.1623077,121.0
0.17182693,122.0
0.18134615,123.0
0.19086538,124.0
0.20038462,125.0
0.20990385,126.0
0.21942307,127.0
0.2289423,128.0
0.23846154,129.0
0.24798077,130.0
0.2575,131.0
0.24798077,132.0
0.23846154,133.0
0.2289423,134.0
0.21942307,135.0
0.20990385,136.0
0.20038462,137.0
0.19086538,138.0
0.18134615,139.0
0.17182693,140.0
0.1623077,141.0
0.15278846,142.0
0.14326923,143.0
0.13375,144.0
0.12423077,145.0
