lr,iterations,accuracy,loss
0.001,1.0,0.63832855,1.5518991
0.0018983813,2.0,0.63779867,1.5534203
0.0027967626,3.0,0.64232874,1.4364167
0.0036951439,4.0,0.6408045,1.549922
0.004593525,5.0,0.6444682,1.444636
0.0054919063,6.0,0.6395828,1.6946758
0.0063902875,7.0,0.6417943,1.5452739
0.0072886692,8.0,0.64033717,1.5224073
0.00818705,9.0,0.6370337,1.5922705
0.009085432,10.0,0.6377908,1.5072733
0.009983813,11.0,0.63729644,1.5852139
0.010882194,12.0,0.63743925,1.5883173
0.011780576,13.0,0.6381725,1.6090025
0.012678957,14.0,0.6374659,1.4714416
0.013577338,15.0,0.6376222,1.495049
0.014475719,16.0,0.63650435,1.6110702
0.015374101,17.0,0.6364098,1.5324179
0.016272482,18.0,0.6357056,1.5548843
0.017170863,19.0,0.63481367,1.5847504
0.018069245,20.0,0.6356057,1.5356231
0.018967627,21.0,0.6361873,1.522225
0.019866006,22.0,0.6364496,1.5613372
0.020764388,23.0,0.6369507,1.5443511
0.02166277,24.0,0.637254,1.4873254
0.022561152,25.0,0.6363445,1.6642148
0.023459533,26.0,0.63490254,1.6504596
0.024357913,27.0,0.6337809,1.6701952
0.025256295,28.0,0.6338376,1.5974873
0.026154676,29.0,0.63349515,1.5909106
0.027053058,30.0,0.6331546,1.6227233
0.027951438,31.0,0.6333237,1.5642211
0.02884982,32.0,0.63313216,1.5641538
0.029748201,33.0,0.6328522,1.5528222
0.030646583,34.0,0.6328732,1.5684555
0.031544965,35.0,0.63338184,1.4582144
0.032443345,36.0,0.6339244,1.5827415
0.03334173,37.0,0.63369715,1.5990168
0.034240108,38.0,0.6327942,1.6778014
0.035138488,39.0,0.6323677,1.6059947
0.03603687,40.0,0.6327373,1.4756318
0.03693525,41.0,0.631976,1.6473796
0.037833635,42.0,0.6319705,1.5957582
0.038732015,43.0,0.63194025,1.54374
0.039630394,44.0,0.6315615,1.6682708
0.040528778,45.0,0.6315234,1.551665
0.041427158,46.0,0.63244694,1.4386691
0.04232554,47.0,0.63267064,1.564803
0.04322392,48.0,0.6325545,1.6281481
0.0441223,49.0,0.63266075,1.5737637
0.045020685,50.0,0.63270044,1.584455
0.045919064,51.0,0.63238466,1.5605755
0.046817444,52.0,0.6326099,1.4638044
0.047715828,53.0,0.63208306,1.5783498
0.048614208,54.0,0.63184434,1.6478752
0.04951259,55.0,0.63215137,1.513447
0.05041097,56.0,0.6317048,1.7396148
0.05130935,57.0,0.63186765,1.5075272
0.052207734,58.0,0.631389,1.7695923
0.053106114,59.0,0.6313385,1.5261267
0.054004498,60.0,0.63131005,1.5627954
0.054902878,61.0,0.6319055,1.4324118
0.055801257,62.0,0.6322116,1.4370506
0.05669964,63.0,0.6326645,1.5213122
0.05759802,64.0,0.6324938,1.6570077
0.058496404,65.0,0.6324762,1.5076058
0.059394784,66.0,0.6325596,1.6136688
0.060293164,67.0,0.63272685,1.4656593
0.061191548,68.0,0.63308024,1.496071
0.062089927,69.0,0.6330107,1.556076
0.06298831,70.0,0.63299847,1.59162
0.06388669,71.0,0.63247454,1.7409784
0.06478507,72.0,0.63271165,1.4942071
0.065683454,73.0,0.63241696,1.6402217
0.06658184,74.0,0.6320098,1.5833739
0.067480214,75.0,0.631914,1.6098089
